Baliozkotze-data / Fecha Validacion;EAE: Positiboa / CAE: Positivo ;Araba: Positiboa / Álava: Positivo ;Bizkaia: Positiboa / Bizkaia: Positivo ;Gipuzkoa: Positiboa / Gipuzkoa: Positivo 
01/03/2020;1;1;0;0
03/03/2020;6;2;2;2
04/03/2020;4;3;1;0
05/03/2020;19;16;3;0
06/03/2020;20;16;4;0
07/03/2020;33;28;3;2
08/03/2020;40;29;8;3
09/03/2020;44;30;12;2
10/03/2020;54;41;13;0
11/03/2020;98;77;16;5
12/03/2020;72;48;14;10
13/03/2020;91;41;33;17
14/03/2020;107;64;26;17
15/03/2020;84;36;29;19
16/03/2020;113;45;44;24
17/03/2020;174;66;86;22
18/03/2020;209;76;88;45
19/03/2020;257;82;134;41
20/03/2020;280;95;129;56
21/03/2020;383;113;216;54
22/03/2020;321;93;165;63
23/03/2020;304;81;155;68
24/03/2020;530;128;292;110
25/03/2020;677;228;347;102
26/03/2020;657;167;347;143
27/03/2020;524;172;260;92
28/03/2020;606;172;313;121
29/03/2020;306;95;157;54
30/03/2020;267;56;170;41
31/03/2020;509;145;271;93
01/04/2020;473;109;283;81
02/04/2020;509;90;351;68
03/04/2020;367;91;204;72
04/04/2020;427;100;255;72
05/04/2020;184;40;115;29
06/04/2020;211;69;112;30
07/04/2020;439;63;261;115
08/04/2020;395;77;232;86
09/04/2020;320;45;218;57
10/04/2020;366;58;244;64
11/04/2020;243;27;149;67
12/04/2020;236;16;154;66
13/04/2020;214;21;123;70
14/04/2020;244;20;159;65
15/04/2020;298;43;203;52
16/04/2020;299;39;223;37
17/04/2020;266;38;195;33
18/04/2020;217;37;147;33
19/04/2020;89;24;46;19
20/04/2020;157;33;113;11
21/04/2020;225;30;161;34
22/04/2020;408;46;322;40
23/04/2020;322;78;193;51
24/04/2020;357;94;208;55
25/04/2020;166;46;89;31
26/04/2020;101;33;66;2
27/04/2020;385;180;173;32
28/04/2020;353;61;268;24
29/04/2020;351;101;223;27
30/04/2020;445;160;235;50
01/05/2020;139;42;92;5
02/05/2020;76;21;52;3
03/05/2020;48;29;17;2
04/05/2020;195;70;106;19
05/05/2020;292;115;125;52
06/05/2020;338;86;168;84
07/05/2020;320;43;174;103
08/05/2020;282;81;163;38
09/05/2020;121;46;56;19
10/05/2020;35;17;17;1
11/05/2020;134;44;84;6
12/05/2020;255;57;98;100
