Data / Fecha;EAE: Oinarrizko Biderkatze Zenbakia (R0) / CAE: Número Básico de Reproducción (R0)
08/03/2020;5.1692078
09/03/2020;3.9376419
10/03/2020;3.4457614
11/03/2020;2.9790797
12/03/2020;2.5398498
13/03/2020;2.2661491
14/03/2020;2.0183986
15/03/2020;1.7851947
16/03/2020;1.6295418
17/03/2020;1.6622316
18/03/2020;1.7531311
19/03/2020;1.8351711
20/03/2020;1.9058930
21/03/2020;1.8768005
22/03/2020;1.7910931
23/03/2020;1.7322962
24/03/2020;1.7646122
25/03/2020;1.8336093
26/03/2020;1.7676888
27/03/2020;1.5810565
28/03/2020;1.4666337
29/03/2020;1.2771438
30/03/2020;1.1510236
31/03/2020;1.0794372
01/04/2020;0.9710087
02/04/2020;0.9149939
03/04/2020;0.8964911
04/04/2020;0.8324363
05/04/2020;0.8429850
06/04/2020;0.8516556
07/04/2020;0.8376676
08/04/2020;0.8150561
09/04/2020;0.7757352
10/04/2020;0.7653298
11/04/2020;0.7543129
12/04/2020;0.7883490
13/04/2020;0.8118344
14/04/2020;0.7537733
15/04/2020;0.7370040
16/04/2020;0.7478279
17/04/2020;0.7099884
18/04/2020;0.7598736
19/04/2020;0.7523289
20/04/2020;0.7312965
21/04/2020;0.7327438
22/04/2020;0.7151324
23/04/2020;0.7177265
24/04/2020;0.8002470
25/04/2020;0.7752960
26/04/2020;0.8143020
27/04/2020;0.8496836
28/04/2020;0.7996926
28/04/2020;0.8053311
30/04/2020;0.8139396
01/05/2020;0.7105791
02/05/2020;0.7250232
03/05/2020;0.7164895
04/05/2020;0.7247392
05/05/2020;0.7437310
06/05/2020;0.6898005
07/05/2020;0.5713627
08/05/2020;0.6498137
09/05/2020;0.6919443
10/05/2020;0.7674388
11/05/2020;0.8221563
