Hildakoak, ez berrezkuratuak eta sendatutakoak / Fallecidos, no recuperados y recuperados;;;
Baliozkotze data / Fecha Validación;Hildakoak / Fallecidos;Ez berrezkuratuak / No recuperados;Sendatutakoak edo ospitaleko altak / Recuperado o altas hospitalarias
05/02/2020;0;0;0
23/02/2020;0;0;0
24/02/2020;0;0;0
25/02/2020;0;0;0
26/02/2020;0;0;0
27/02/2020;0;0;0
28/02/2020;0;0;0
29/02/2020;0;0;0
01/03/2020;0;1;0
02/03/2020;0;4;0
03/03/2020;0;8;0
04/03/2020;0;12;0
05/03/2020;1;30;0
06/03/2020;1;55;0
07/03/2020;1;89;0
08/03/2020;3;134;0
09/03/2020;5;179;0
10/03/2020;6;253;0
11/03/2020;7;325;0
12/03/2020;12;404;0
13/03/2020;16;503;0
14/03/2020;21;600;0
15/03/2020;25;696;0
16/03/2020;36;789;0
17/03/2020;41;979;0
18/03/2020;52;1196;0
19/03/2020;71;1445;0
20/03/2020;85;1598;165
21/03/2020;97;1854;216
22/03/2020;120;2074;283
23/03/2020;133;2357;344
24/03/2020;155;2791;466
25/03/2020;180;3332;621
26/03/2020;203;3743;814
27/03/2020;241;3993;1023
28/03/2020;265;4064;1503
29/03/2020;297;4132;1646
30/03/2020;325;4277;1796
31/03/2020;369;4435;2165
01/04/2020;412;4547;2490
02/04/2020;444;4685;2809
03/04/2020;477;4779;3098
04/04/2020;515;4729;3405
05/04/2020;548;4729;3568
06/04/2020;586;4783;3728
07/04/2020;635;4747;4151
08/04/2020;689;4694;4514
09/04/2020;729;4842;4680
10/04/2020;765;5072;4741
11/04/2020;804;5094;4867
12/04/2020;831;5157;5026
13/04/2020;859;5190;5193
14/04/2020;902;5206;5428
15/04/2020;956;5059;5813
16/04/2020;992;4997;6144
17/04/2020;1020;4834;6556
18/04/2020;1062;4537;6972
19/04/2020;1081;4458;7124
20/04/2020;1103;4460;7277
21/04/2020;1124;4347;7651
22/04/2020;1167;4176;8136
23/04/2020;1193;4202;8459
24/04/2020;1212;4054;8941
25/04/2020;1230;3494;9602
26/04/2020;1241;3331;9840
27/04/2020;1255;3575;9974
28/04/2020;1274;3390;10474
28/04/2020;1296;3287;10936
30/04/2020;1312;3277;11380
01/05/2020;1321;2993;11805
02/05/2020;1329;2844;12024
03/05/2020;1341;2750;12155
04/05/2020;1353;2822;12251
05/05/2020;1364;2566;12749
06/05/2020;1383;2506;13070
07/05/2020;1390;2356;13540
08/05/2020;1403;2165;13985
09/05/2020;1418;1613;14646
10/05/2020;1423;1568;14718
11/05/2020;1429;1498;14913
12/05/2020;1442;1664;14986
