TESTAK METATUTA / TESTS ACUMULADOS;;;;;;;;
Data / Fecha;EAE: PCR testak metatuta / CAE: Tests PCRs acumulados;EAE: Test azkarrak metatuta / CAE: Tests rápidos acumulados;Araba: PCR testak metatuta / Álava: Tests PCRs acumulados;Araba: test azkarrak metatuta / Álava: Tests rápidos acumulados;Bizkaia: PCR testak metatuta / Bizkaia: Tests PCRs acumulados;Bizkaia: test azkarrak metatuta / Bizkaia: Tests rápidos acumulados;Gipuzkoa: PCR testak metatuta / Gipuzkoa: Tests PCRs acumulados;Gipuzkoa: test azkarrak metatuta / Gipuzkoa: Tests rápidos acumulados
24/02/2020;8;;1;;7;;0;
25/02/2020;15;;1;;13;;1;
26/02/2020;19;;1;;14;;4;
27/02/2020;30;;4;;21;;5;
28/02/2020;60;;6;;41;;13;
29/02/2020;79;;18;;48;;13;
01/03/2020;112;;35;;53;;24;
02/03/2020;169;;50;;54;;65;
03/03/2020;276;;83;;80;;113;
04/03/2020;361;;128;;91;;142;
05/03/2020;470;;154;;152;;164;
06/03/2020;634;;224;;197;;213;
07/03/2020;801;;291;;255;;255;
08/03/2020;940;;341;;311;;288;
09/03/2020;1114;;420;;385;;309;
10/03/2020;1363;;501;;494;;368;
11/03/2020;1657;;628;;604;;425;
12/03/2020;1974;;742;;722;;510;
13/03/2020;2334;;870;;862;;602;
14/03/2020;2694;;1002;;990;;702;
15/03/2020;3007;;1101;;1103;;803;
16/03/2020;3364;;1204;;1247;;913;
17/03/2020;3899;;1329;;1496;;1074;
18/03/2020;4578;;1480;;1815;;1283;
19/03/2020;5323;;1657;;2222;;1444;
20/03/2020;6083;;1877;;2494;;1712;
21/03/2020;7050;;2090;;3025;;1935;
22/03/2020;7946;;2281;;3433;;2232;
23/03/2020;8674;;2425;;3787;;2462;
24/03/2020;9952;;2648;;4445;;2859;
25/03/2020;11664;;3065;;5353;;3246;
26/03/2020;13332;;3374;;6233;;3725;
27/03/2020;14872;;3735;;7069;;4068;
28/03/2020;16559;;4160;;7830;;4569;
29/03/2020;17617;;4454;;8345;;4818;
30/03/2020;18545;;4632;;8873;;5040;
31/03/2020;20287;;5065;;9731;;5491;
01/04/2020;21865;;5421;;10572;;5872;
02/04/2020;23609;;5763;;11596;;6250;
03/04/2020;25119;;6113;;12383;;6623;
04/04/2020;26757;;6494;;13214;;7049;
05/04/2020;27583;;6692;;13657;;7234;
06/04/2020;28480;26;6892;1;14191;25;7397;0
07/04/2020;30403;188;7286;85;15196;93;7921;10
08/04/2020;32377;515;7755;183;16140;269;8482;63
09/04/2020;34187;900;8123;243;17144;453;8920;204
10/04/2020;35784;1248;8584;290;17826;603;9374;355
11/04/2020;36907;1845;8866;360;18352;863;9689;622
12/04/2020;38338;2488;9126;458;19043;1219;10169;811
13/04/2020;39620;3237;9284;576;19640;1556;10696;1105
14/04/2020;41366;4281;9615;701;20578;1959;11173;1621
15/04/2020;44110;5641;10083;840;21988;2607;12039;2194
16/04/2020;47188;7468;10546;997;23470;3381;13172;3090
17/04/2020;50016;9651;11027;1201;24875;4636;14114;3814
18/04/2020;53526;10786;11532;1430;26943;5212;15051;4144
19/04/2020;55824;11628;11985;1597;28238;5593;15601;4438
20/04/2020;57757;13251;12200;1858;29537;6597;16020;4796
21/04/2020;61661;15767;12726;2125;31935;8022;17000;5620
22/04/2020;66357;18998;13198;2434;34831;10210;18328;6354
23/04/2020;70884;23462;13741;3169;37333;12379;19810;7914
24/04/2020;75829;28159;14200;3997;40266;14762;21363;9400
25/04/2020;80417;30799;14855;4287;42405;15756;23157;10756
26/04/2020;83386;31677;15114;4505;44060;16236;24212;10936
27/04/2020;85668;35499;15338;5454;45684;18018;24646;12027
28/04/2020;90749;40924;15998;6066;48356;21192;26395;13666
29/04/2020;95743;45395;16301;6796;51558;24080;27884;14519
30/04/2020;100926;51277;16730;7889;54741;26914;29455;16474
01/05/2020;105374;53184;17335;8337;57068;27901;30971;16946
02/05/2020;108174;53898;17756;8595;59004;28263;31414;17040
03/05/2020;109326;54467;18167;8811;59392;28434;31767;17222
