POSITIBOAK EUSKADIKO UDALERRIETAN (8:00etan) / POSITIVOS EN LOS MUNICIPIOS DE EUSKADI (8:00 horas);;
Udalerriaren Eustat kodea / Código Eustat del municipio;Udalerria / Municipio;Positiboak / Positivos
01059;VITORIA-GASTEIZ;3923
48020;BILBAO;3494
48013;BARAKALDO;978
20069;DONOSTIA / SAN SEBASTIAN;749
48044;GETXO;581
48015;BASAURI;494
48082;SANTURTZI;406
48078;PORTUGALETE;364
48036;GALDAKAO;295
48902;ERANDIO;258
20055;ARRASATE/MONDRAGON;246
48054;LEIOA;244
20045;IRUN;226
20030;EIBAR;209
48084;SESTAO;203
48027;DURANGO;196
48034;ERMUA;167
20079;ZARAUTZ;160
48003;AMOREBIETA-ETXANO;151
48017;BERMEO;138
01036;LAUDIO/LLODIO;135
48085;SOPELA;129
48090;BALMASEDA;127
20071;TOLOSA;125
48080;VALLE DE TRAPAGA-TRAPAGARAN;122
20067;ERRENTERIA;119
48011;ARRIGORRIAGA;116
01002;AMURRIO;106
48029;ETXEBARRI;91
48046;GERNIKA-LUMO;86
48071;MUSKIZ;85
48069;MUNGIA;84
20080;ZUMARRAGA;77
48903;LOIU;76
48086;SOPUERTA;76
20076;ORDIZIA;74
48002;ABANTO Y CIERVANA-ABANTO ZIERB;64
01010;AYALA/AIARA;62
01051;SALVATIERRA/AGURAIN;56
48096;ZALLA;56
20013;ARETXABALETA;56
20040;HERNANI;55
48904;SONDIKA;55
20074;BERGARA;53
20019;BEASAIN;53
48016;BERANGO;51
20064;PASAIA;50
48068;MUNDAKA;49
20081;ZUMAIA;49
20902;LASARTE-ORIA;49
48901;DERIO;48
20059;OÑATI;48
48083;ORTUELLA;46
20009;ANDOAIN;45
48045;GÜEÑES;45
20032;ELGOIBAR;44
48021;BUSTURIA;43
20036;HONDARRIBIA;41
01028;LABASTIDA/BASTIDA;35
20075;VILLABONA;33
48065;UGAO-MIRABALLES;33
48043;GORLIZ;30
48074;URDUÑA/ORDUÑA;30
48077;PLENTZIA;29
48001;ABADIÑO;28
01043;OYON-OION;28
48032;ELORRIO;28
48089;URDULIZ;28
20051;LEGAZPI;27
01901;IRUÑA OKA/IRUÑA DE OCA;27
20063;OIARTZUN;25
48042;GORDEXOLA;25
20042;IBARRA;24
01063;ZUIA;24
01001;ALEGRIA-DULANTZI;24
48075;OROZKO;22
20061;ORIO;21
48022;KARRANTZA HARANA/CARRANZA;21
48057;LEKEITIO;21
20053;LEZO;21
48055;LEMOA;20
48073;ONDARROA;20
20903;ASTIGARRAGA;20
01052;SAMANIEGO;19
48905;ZAMUDIO;18
20072;URNIETA;18
20077;URRETXU;18
20017;AZKOITIA;18
20018;AZPEITIA;18
48060;MARKINA-XEMEIN;18
01017;CAMPEZO/KANPEZU;18
20046;IRURA;17
20049;LAZKAO;16
48094;IGORRE;16
01018;ZIGOITIA;16
48912;ALONSOTEGI;15
20034;ESKORIATZA;14
20056;MUTRIKU;14
48910;IURRETA;14
20065;SORALUZE-PLACENCIA DE LAS ARMA;13
20010;ANOETA;13
48095;ZALDIBAR;13
01013;BARRUNDIA;12
01004;ARTZINIEGA;12
20073;USURBIL;11
48913;ZIERBENA;10
20029;DEBA;10
48012;BAKIO;10
01058;LEGUTIO;10
48097;ZARATAMO;10
48081;LEZAMA;10
01046;ERRIBERAGOITIA/RIBERA ALTA;9
01062;ZAMBRANA;9
48072;OTXANDIO;9
01009;ASPARRENA;9
01022;ELCIEGO;8
01902;LANTARON;8
20033;ELGETA;8
01016;BERNEDO;7
20011;ANTZUOLA;7
48091;ATXONDO;7
01021;ELBURGO/BURGELU;7
48053;LAUKIZ;7
20052;LEGORRETA;7
48056;LEMOIZ;7
48014;BARRIKA;7
48052;LARRABETZU;7
48019;BERRIZ;7
48025;ZEBERIO;6
01042;OKONDO;6
48018;BERRIATUA;6
20028;ZIZURKIL;6
01027;IRURAIZ-GAUNA;6
48008;ARTZENTALES;6
01054;URKABUSTAIZ;6
01060;YECORA/IEKORA;6
20025;ZEGAMA;6
48037;GALDAMES;6
01008;ARRATZUA-UBARRUNDIA;6
48087;TRUCIOS-TURTZIOZ;5
20027;ZESTOA;5
20043;IDIAZABAL;5
20039;GETARIA;5
48906;FORUA;5
01047;RIBERA BAJA/ERRIBERA BEITIA;5
20016;AIA;5
20015;ATAUN;5
48031;ELANTXOBE;5
48093;AREATZA;5
20901;MENDARO;4
48064;MEÑAKA;4
20014;ASTEASU;4
48058;MALLABIA;4
48024;ZEANURI;4
48041;GAUTEGIZ ARTEAGA;4
20005;ALEGIA;4
48038;GAMIZ-FIKA;4
48030;ETXEBARRIA;4
20078;ZALDIBIA;4
01014;BERANTEVILLA;4
48040;GATIKA;4
01023;ELVILLAR/BILAR;4
01003;ARAMAIO;4
20070;SEGURA;4
01053;SAN MILLAN/DONEMILIAGA;4
48048;IBARRANGELU;4
48059;MAÑARIA;3
20007;ALTZO;3
20057;MUTILOA;3
48066;MORGA;3
01037;ARRAIA-MAEZTU;3
20003;AIZARNAZABAL;3
01055;VALDEGOVIA/GAUBEA;3
01039;MOREDA DE ALAVA/MOREDA ARABA;3
48907;KORTEZUBI;3
20024;BIDANIA-GOIATZ;3
48026;DIMA;3
01011;BAÑOS DE EBRO/MAÑUETA;3
01031;LAGUARDIA;3
01033;LAPUEBLA DE LABARCA;3
01057;VILLABUENA DE ALAVA/ESKUERNAGA;2
20062;ORMAIZTEGI;2
48070;AULESTI;2
48092;BEDIA;2
20012;ARAMA;2
20047;ITSASONDO;2
20041;HERNIALDE;2
20008;AMEZKETA;2
20006;ALKIZA;2
48088;UBIDE;2
48076;SUKARRIETA;2
48063;MENDEXA;2
48010;ARRIETA;2
20002;ADUNA;2
48061;MARURI-JATABE;2
48023;ARTEA;2
48062;MENDATA;2
20021;BELAUNTZA;2
48914;ARRATZU;2
48909;NABARNIZ;2
48067;MUXIKA;2
48079;ERRIGOITI;1
48004;AMOROTO;1
01061;ZALDUONDO;1
20906;ALTZAGA;1
20022;BERASTEGI;1
48035;FRUIZ;1
20004;ALBIZTUR;1
20035;EZKIO-ITSASO;1
48033;EREÑO;1
48915;ZIORTZA-BOLIBAR;1
48047;GIZABURUAGA;1
48006;ARANTZAZU;1
01034;LEZA;1
20050;LEABURU;1
01006;ARMIÑON;1
01032;LANCIEGO/LANTZIEGO;1
48049;ISPASTER;1
20058;OLABERRIA;1
20054;LIZARTZA;1
48908;MURUETA;0
20020;BEIZAMA;0
20048;LARRAUL;0
20066;ERREZIL;0
01056;HARANA/VALLE DE ARANA;0
01041;NAVARIDAS;0
48009;ARRANKUDIAGA;0
48007;MUNITIBAR-ARBATZEGI GERRIKAITZ;0
20068;LEINTZ-GATZAGA;0
48028;EA;0
20001;ABALTZISKETA;0
20023;BERROBI;0
20506;ENIRIO-ARALAR;0
01503;ENTZIA ELKARREKIKOA / PARZONERIA DE ENTZIA;0
20031;ELDUAIN;0
20026;ZERAIN;0
48051;LANESTOSA;0
01019;KRIPAN;0
01501;BADAIA ELKARREKIKOA / PARZONERIA BADAIA;0
01020;KUARTANGO;0
20505;GIPUZKOAKO PARTZUERGO TXIKIA / PARZONERIA MENOR DE GIPUZKOA;0
48050;IZURTZA;0
48005;ARAKALDO;0
20044;IKAZTEGIETA;0
01049;AÑANA;0
01044;PEÑACERRADA/URIZAHARRA;0
20504;GIPUZKOAKO ETA ARABAKO PARTZUERGO NAGUSIA / PARZONERIA GENERAL DE GIPUZKOA Y ALAVA;0
20060;OREXA;0
01030;LAGRAN;0
20905;ORENDAIN;0
48911;AJANGIZ;0
20038;GABIRIA;0
20907;GAZTELU;0
20904;BALIARRAIN;0
20037;GAINTZA;0
48039;GARAI;0
;;
(*) Udalerriko positiboak analisietako datuetatik datoz, goizeko 08:00etan. Horregatik, guztizkoak ez datoz bat arratsaldeko 20:00etako analisien emaitzekin. Baliteke, gainera, egunez egun desadostasun txikiak egotea. Informazioa etengabe berrikusten eta arazten ari da. Baliteke, gardentasunaren mesedetan, akats puntualen bat egotea, gerora zuzenduko dena.;;
(*) Los positivos por municipio provienen de datos de las analíticas a las 08:00 de la mañana. Es por ello que los totales no coinciden con los de los resultados de las analíticas de las 20:00 de la tarde. Puede además que haya pequeñas discrepancias de día a día. La información está continuamente siendo revisada y depurada. En aras de la transparencia puede que haya algún error puntual que posteriormente será corregido.;;
;;
(*) Informazioa etengabe berrikusten eta arazten ari da. Baliteke, gardentasunaren mesedetan, akats puntualen bat egotea, gerora zuzenduko dena.;;
(*) La información está continuamente siendo revisada y depurada. En aras de la transparencia puede que haya algún error puntual que se corregirá posteriormente.;;
