Zonas  Turísticas;Periodo;Total
Andalucía: Costa De Almería;2021M11;7,26
Andalucía: Costa De Almería;2021M10;4,1
Andalucía: Costa De Almería;2021M09;3,65
Andalucía: Costa De Almería;2021M08;4,19
Andalucía: Costa De Almería;2021M07;3,87
Andalucía: Costa De Almería;2021M06;3,04
Andalucía: Costa De Almería;2021M05;3,38
Andalucía: Costa De Almería;2021M04;5,67
Andalucía: Costa De Almería;2021M03;6,89
Andalucía: Costa De Almería;2021M02;20,15
Andalucía: Costa De Almería;2021M01;18,75
Andalucía: Costa De Almería;2020M12;15,27
Andalucía: Costa De Almería;2020M11;23,1
Andalucía: Costa De Almería;2020M10;3,7
Andalucía: Costa De Almería;2020M09;2,72
Andalucía: Costa De Almería;2020M08;3,34
Andalucía: Costa De Almería;2020M07;2,98
Andalucía: Costa De Almería;2020M06;.
Andalucía: Costa De Almería;2020M05;.
Andalucía: Costa De Almería;2020M04;0
Andalucía: Costa De Almería;2020M03;10,11
Andalucía: Costa De Almería;2020M02;7,58
Andalucía: Costa De Almería;2020M01;10,99
Andalucía: Costa De Almería;2019M12;8,86
Andalucía: Costa De Almería;2019M11;6,5
Andalucía: Costa De Almería;2019M10;3,66
Andalucía: Costa De Almería;2019M09;3,34
Andalucía: Costa De Almería;2019M08;3,7
Andalucía: Costa De Almería;2019M07;3,88
Andalucía: Costa De Almería;2019M06;3,18
Andalucía: Costa De Almería;2019M05;4,46
Andalucía: Costa De Almería;2019M04;4,68
Andalucía: Costa De Almería;2019M03;8,49
Andalucía: Costa De Almería;2019M02;10,57
Andalucía: Costa De Almería;2019M01;11,13
Andalucía: Costa De Almería;2018M12;9,97
Andalucía: Costa De Almería;2018M11;9,17
Andalucía: Costa De Almería;2018M10;4,5
Andalucía: Costa De Almería;2018M09;4,29
Andalucía: Costa De Almería;2018M08;3,92
Andalucía: Costa De Almería;2018M07;3,81
Andalucía: Costa De Almería;2018M06;2,91
Andalucía: Costa De Almería;2018M05;3,94
Andalucía: Costa De Almería;2018M04;4,57
Andalucía: Costa De Almería;2018M03;6,19
Andalucía: Costa De Almería;2018M02;12,17
Andalucía: Costa De Almería;2018M01;13,37
Andalucía: Costa De Almería;2017M12;10,77
Andalucía: Costa De Almería;2017M11;10,3
Andalucía: Costa De Almería;2017M10;4,4
Andalucía: Costa De Almería;2017M09;3,08
Andalucía: Costa De Almería;2017M08;3,57
Andalucía: Costa De Almería;2017M07;3,33
Andalucía: Costa De Almería;2017M06;2,92
Andalucía: Costa De Almería;2017M05;3,71
Andalucía: Costa De Almería;2017M04;4,82
Andalucía: Costa De Almería;2017M03;8,55
Andalucía: Costa De Almería;2017M02;11,12
Andalucía: Costa De Almería;2017M01;12,15
Andalucía: Costa De Almería;2016M12;9,65
Andalucía: Costa De Almería;2016M11;8,44
Andalucía: Costa De Almería;2016M10;5,8
Andalucía: Costa De Almería;2016M09;3,77
Andalucía: Costa De Almería;2016M08;3
Andalucía: Costa De Almería;2016M07;3,31
Andalucía: Costa De Almería;2016M06;3,16
Andalucía: Costa De Almería;2016M05;4,38
Andalucía: Costa De Almería;2016M04;5,72
Andalucía: Costa De Almería;2016M03;7,33
Andalucía: Costa De Almería;2016M02;11,43
Andalucía: Costa De Almería;2016M01;13,88
Andalucía: Costa De Almería;2015M12;11,92
Andalucía: Costa De Almería;2015M11;9
Andalucía: Costa De Almería;2015M10;5,78
Andalucía: Costa De Almería;2015M09;4,4
Andalucía: Costa De Almería;2015M08;3,64
Andalucía: Costa De Almería;2015M07;4,2
Andalucía: Costa De Almería;2015M06;3,49
Andalucía: Costa De Almería;2015M05;4,8
Andalucía: Costa De Almería;2015M04;5,72
Andalucía: Costa De Almería;2015M03;9,09
Andalucía: Costa De Almería;2015M02;13,73
Andalucía: Costa De Almería;2015M01;13,93
Andalucía: Costa De Almería;2014M12;13,63
Andalucía: Costa De Almería;2014M11;11,07
Andalucía: Costa De Almería;2014M10;6,02
Andalucía: Costa De Almería;2014M09;4,39
Andalucía: Costa De Almería;2014M08;3,56
Andalucía: Costa De Almería;2014M07;3,98
Andalucía: Costa De Almería;2014M06;3,34
Andalucía: Costa De Almería;2014M05;5,26
Andalucía: Costa De Almería;2014M04;5,05
Andalucía: Costa De Almería;2014M03;12,13
Andalucía: Costa De Almería;2014M02;14,22
Andalucía: Costa De Almería;2014M01;16,24
Andalucía: Costa De Almería;2013M12;14,16
Andalucía: Costa De Almería;2013M11;10,53
Andalucía: Costa De Almería;2013M10;6,03
Andalucía: Costa De Almería;2013M09;4,19
Andalucía: Costa De Almería;2013M08;3,5
Andalucía: Costa De Almería;2013M07;3,73
Andalucía: Costa De Almería;2013M06;3,58
Andalucía: Costa De Almería;2013M05;4,6
Andalucía: Costa De Almería;2013M04;6,51
Andalucía: Costa De Almería;2013M03;7,39
Andalucía: Costa De Almería;2013M02;14,92
